text,language
naenda shule,Swahili
karibu nyumbani,Swahili
tuko pamoja,Swahili
karibu nyumbani,Swahili
hii ni nzuri,Swahili
tuko pamoja,Swahili
ninakupenda sana naenda shule,Swahili
chakula kiko tayari niko soko leo,Swahili
tutaonana kesho,Swahili
ninakupenda sana,Swahili
ninakupenda sana karibu nyumbani,Swahili
tutaonana kesho,Swahili
hii ni nzuri ninakupenda sana,Swahili
hii ni nzuri hii ni nzuri,Swahili
tuko pamoja tutaonana kesho,Swahili
ninakupenda sana,Swahili
niko soko leo,Swahili
umefanya kazi tuko pamoja,Swahili
naenda shule ninakupenda sana,Swahili
niko soko leo tutaonana kesho,Swahili
karibu nyumbani tutaonana kesho,Swahili
umefanya kazi niko soko leo,Swahili
tutaonana kesho tuko pamoja,Swahili
hii ni nzuri,Swahili
tutaonana kesho,Swahili
karibu nyumbani karibu nyumbani,Swahili
hii ni nzuri habari yako,Swahili
tuko pamoja niko soko leo,Swahili
hii ni nzuri,Swahili
tutaonana kesho tutaonana kesho,Swahili
naenda shule,Swahili
niko soko leo hii ni nzuri,Swahili
tutaonana kesho hii ni nzuri,Swahili
tuko pamoja,Swahili
ninakupenda sana,Swahili
umefanya kazi ninakupenda sana,Swahili
umefanya kazi niko soko leo,Swahili
umefanya kazi,Swahili
naenda shule,Swahili
hii ni nzuri,Swahili
tuko pamoja niko soko leo,Swahili
umefanya kazi,Swahili
habari yako umefanya kazi,Swahili
chakula kiko tayari habari yako,Swahili
karibu nyumbani tutaonana kesho,Swahili
naenda shule,Swahili
tutaonana kesho,Swahili
ninakupenda sana,Swahili
niko soko leo,Swahili
hii ni nzuri naenda shule,Swahili
habari yako chakula kiko tayari,Swahili
niko soko leo tutaonana kesho,Swahili
tuko pamoja naenda shule,Swahili
niko soko leo hii ni nzuri,Swahili
naenda shule habari yako,Swahili
niko soko leo umefanya kazi,Swahili
umefanya kazi,Swahili
karibu nyumbani naenda shule,Swahili
chakula kiko tayari chakula kiko tayari,Swahili
tutaonana kesho ninakupenda sana,Swahili
umefanya kazi karibu nyumbani,Swahili
niko soko leo,Swahili
habari yako karibu nyumbani,Swahili
umefanya kazi,Swahili
umefanya kazi,Swahili
umefanya kazi,Swahili
ninakupenda sana,Swahili
tutaonana kesho umefanya kazi,Swahili
umefanya kazi,Swahili
chakula kiko tayari naenda shule,Swahili
ninakupenda sana habari yako,Swahili
ninakupenda sana,Swahili
hii ni nzuri,Swahili
tuko pamoja,Swahili
hii ni nzuri hii ni nzuri,Swahili
naenda shule,Swahili
naenda shule chakula kiko tayari,Swahili
niko soko leo tuko pamoja,Swahili
niko soko leo,Swahili
tutaonana kesho,Swahili
habari yako,Swahili
hii ni nzuri habari yako,Swahili
ninakupenda sana tuko pamoja,Swahili
hii ni nzuri,Swahili
umefanya kazi tuko pamoja,Swahili
naenda shule,Swahili
tutaonana kesho,Swahili
hii ni nzuri naenda shule,Swahili
tutaonana kesho niko soko leo,Swahili
ninakupenda sana naenda shule,Swahili
hii ni nzuri niko soko leo,Swahili
umefanya kazi,Swahili
niko soko leo ninakupenda sana,Swahili
umefanya kazi,Swahili
chakula kiko tayari ninakupenda sana,Swahili
habari yako tuko pamoja,Swahili
ninakupenda sana karibu nyumbani,Swahili
naenda shule naenda shule,Swahili
naenda shule niko soko leo,Swahili
karibu nyumbani ninakupenda sana,Swahili
he is my friend,English
he is my friend,English
we will meet tomorrow we will meet tomorrow,English
welcome home,English
i am going home,English
this is interesting the food is ready,English
i like programming,English
how are you we will meet tomorrow,English
he is my friend,English
i am going home this is interesting,English
she loves music,English
i am going home,English
we will meet tomorrow this is interesting,English
she loves music,English
i like programming we will meet tomorrow,English
i like programming,English
this is a good day he is my friend,English
this is a good day how are you,English
this is interesting she loves music,English
he is my friend welcome home,English
this is interesting,English
this is interesting,English
this is interesting the food is ready,English
this is interesting,English
she loves music she loves music,English
the food is ready we will meet tomorrow,English
she loves music,English
i am going home,English
he is my friend the food is ready,English
i am going home,English
welcome home she loves music,English
she loves music,English
we will meet tomorrow,English
she loves music he is my friend,English
i like programming this is interesting,English
he is my friend,English
i am going home this is a good day,English
she loves music she loves music,English
she loves music i like programming,English
how are you welcome home,English
this is interesting welcome home,English
we will meet tomorrow he is my friend,English
she loves music welcome home,English
we will meet tomorrow,English
the food is ready,English
how are you,English
how are you,English
this is interesting,English
the food is ready i am going home,English
welcome home she loves music,English
she loves music he is my friend,English
i am going home she loves music,English
this is a good day,English
welcome home she loves music,English
she loves music,English
i am going home,English
we will meet tomorrow,English
i like programming,English
how are you,English
this is interesting,English
the food is ready,English
this is a good day,English
she loves music,English
i am going home the food is ready,English
i like programming,English
we will meet tomorrow,English
i like programming,English
this is interesting this is a good day,English
welcome home,English
he is my friend,English
i am going home welcome home,English
how are you this is a good day,English
this is interesting i am going home,English
he is my friend welcome home,English
the food is ready she loves music,English
the food is ready,English
the food is ready,English
welcome home,English
she loves music,English
welcome home welcome home,English
she loves music,English
this is a good day welcome home,English
we will meet tomorrow,English
this is interesting,English
welcome home,English
the food is ready,English
i like programming,English
how are you the food is ready,English
this is a good day i am going home,English
welcome home how are you,English
welcome home i like programming,English
the food is ready welcome home,English
she loves music i like programming,English
we will meet tomorrow,English
she loves music i am going home,English
how are you this is interesting,English
she loves music we will meet tomorrow,English
she loves music she loves music,English
he is my friend this is a good day,English
this is interesting welcome home,English
ako na doo ako na doo,Sheng
niaje bro niaje bro,Sheng
tuko rada ako na doo,Sheng
hii ni poa uko sawa msee,Sheng
niko base leo,Sheng
hii ni poa hii ni noma,Sheng
tuko pamoja sana,Sheng
niaje bro tuko rada,Sheng
hii ni noma hii ni noma,Sheng
hii ni poa,Sheng
wacha tuende,Sheng
niko base leo niaje bro,Sheng
hii ni poa,Sheng
tuko pamoja sana uko sawa msee,Sheng
niaje bro ako na doo,Sheng
hii ni poa hii ni poa,Sheng
ako na doo,Sheng
ako na doo,Sheng
tuko rada,Sheng
hii ni poa,Sheng
tuko rada niaje bro,Sheng
wacha tuende tunaenda tao,Sheng
tunaenda tao ako na doo,Sheng
hii ni noma,Sheng
ako na doo tuko rada,Sheng
niko base leo tuko pamoja sana,Sheng
tuko rada uko sawa msee,Sheng
uko sawa msee ako na doo,Sheng
tuko rada,Sheng
wacha tuende,Sheng
tunaenda tao tuko rada,Sheng
tuko pamoja sana,Sheng
niaje bro tuko rada,Sheng
niaje bro ako na doo,Sheng
niaje bro,Sheng
wacha tuende,Sheng
ako na doo,Sheng
uko sawa msee,Sheng
hii ni poa,Sheng
tuko rada,Sheng
hii ni noma,Sheng
niko base leo,Sheng
niaje bro uko sawa msee,Sheng
uko sawa msee ako na doo,Sheng
uko sawa msee hii ni poa,Sheng
hii ni noma ako na doo,Sheng
ako na doo,Sheng
niko base leo hii ni poa,Sheng
tunaenda tao,Sheng
tunaenda tao niko base leo,Sheng
ako na doo ako na doo,Sheng
hii ni poa,Sheng
uko sawa msee tuko rada,Sheng
niaje bro tuko pamoja sana,Sheng
hii ni noma tunaenda tao,Sheng
hii ni poa,Sheng
ako na doo,Sheng
tunaenda tao tunaenda tao,Sheng
hii ni noma tuko pamoja sana,Sheng
niko base leo tunaenda tao,Sheng
uko sawa msee,Sheng
tuko pamoja sana hii ni poa,Sheng
tunaenda tao wacha tuende,Sheng
hii ni poa,Sheng
tunaenda tao,Sheng
hii ni poa,Sheng
tuko rada uko sawa msee,Sheng
ako na doo,Sheng
tuko rada uko sawa msee,Sheng
tuko rada uko sawa msee,Sheng
uko sawa msee,Sheng
hii ni poa,Sheng
niaje bro,Sheng
uko sawa msee,Sheng
tunaenda tao,Sheng
hii ni noma,Sheng
hii ni noma,Sheng
ako na doo,Sheng
tuko rada,Sheng
uko sawa msee uko sawa msee,Sheng
niko base leo,Sheng
niaje bro,Sheng
niko base leo,Sheng
niko base leo,Sheng
wacha tuende,Sheng
ako na doo,Sheng
tuko pamoja sana,Sheng
ako na doo tunaenda tao,Sheng
ako na doo wacha tuende,Sheng
niko base leo hii ni noma,Sheng
tuko pamoja sana,Sheng
wacha tuende,Sheng
niaje bro,Sheng
hii ni noma,Sheng
niko base leo,Sheng
niko base leo ako na doo,Sheng
hii ni noma,Sheng
tuko pamoja sana tuko pamoja sana,Sheng
uko sawa msee,Sheng
wacha tuende niaje bro,Sheng
gi dwaro winjo adhiambo nitie,Luo
an gi tich matek wabedo maber,Luo
idwaro chiemo,Luo
atimoni ahinya,Luo
nyasaye ogwedhi,Luo
adhiambo nitie an gi tich matek,Luo
gi dwaro winjo,Luo
wangni ber wangni ber,Luo
wabedo maber,Luo
nyasaye ogwedhi,Luo
an gi tich matek dhi gi kwe,Luo
wabedo maber abiro kendo,Luo
gi dwaro winjo wabedo maber,Luo
adhiambo nitie wabedo maber,Luo
wabedo maber an gi tich matek,Luo
gi dwaro winjo an gi tich matek,Luo
gi dwaro winjo nyasaye ogwedhi,Luo
wabedo maber,Luo
atimoni ahinya,Luo
gi dwaro winjo an gi tich matek,Luo
abiro kendo,Luo
abiro kendo,Luo
abiro kendo wabedo maber,Luo
nyasaye ogwedhi adhiambo nitie,Luo
gi dwaro winjo nyasaye ogwedhi,Luo
abiro kendo,Luo
dhi gi kwe,Luo
atimoni ahinya dhi gi kwe,Luo
adhiambo nitie,Luo
idwaro chiemo an gi tich matek,Luo
dhi gi kwe gi dwaro winjo,Luo
wabedo maber,Luo
an gi tich matek,Luo
wabedo maber abiro kendo,Luo
an gi tich matek,Luo
idwaro chiemo,Luo
adhiambo nitie idwaro chiemo,Luo
abiro kendo abiro kendo,Luo
gi dwaro winjo,Luo
an gi tich matek abiro kendo,Luo
wabedo maber,Luo
an gi tich matek,Luo
gi dwaro winjo,Luo
gi dwaro winjo,Luo
dhi gi kwe,Luo
wangni ber,Luo
adhiambo nitie,Luo
atimoni ahinya,Luo
an gi tich matek,Luo
atimoni ahinya abiro kendo,Luo
an gi tich matek,Luo
dhi gi kwe an gi tich matek,Luo
idwaro chiemo,Luo
gi dwaro winjo atimoni ahinya,Luo
gi dwaro winjo wangni ber,Luo
abiro kendo idwaro chiemo,Luo
nyasaye ogwedhi abiro kendo,Luo
abiro kendo,Luo
abiro kendo,Luo
atimoni ahinya an gi tich matek,Luo
wabedo maber gi dwaro winjo,Luo
adhiambo nitie,Luo
dhi gi kwe,Luo
adhiambo nitie abiro kendo,Luo
nyasaye ogwedhi dhi gi kwe,Luo
wangni ber atimoni ahinya,Luo
an gi tich matek,Luo
an gi tich matek,Luo
nyasaye ogwedhi an gi tich matek,Luo
atimoni ahinya,Luo
abiro kendo,Luo
gi dwaro winjo gi dwaro winjo,Luo
atimoni ahinya,Luo
gi dwaro winjo,Luo
wangni ber nyasaye ogwedhi,Luo
gi dwaro winjo,Luo
nyasaye ogwedhi gi dwaro winjo,Luo
dhi gi kwe,Luo
atimoni ahinya,Luo
nyasaye ogwedhi wabedo maber,Luo
idwaro chiemo,Luo
abiro kendo nyasaye ogwedhi,Luo
abiro kendo,Luo
dhi gi kwe nyasaye ogwedhi,Luo
adhiambo nitie,Luo
an gi tich matek an gi tich matek,Luo
abiro kendo,Luo
idwaro chiemo,Luo
abiro kendo,Luo
wabedo maber,Luo
wangni ber wabedo maber,Luo
gi dwaro winjo,Luo
adhiambo nitie,Luo
adhiambo nitie wabedo maber,Luo
wabedo maber,Luo
idwaro chiemo,Luo
atimoni ahinya,Luo
dhi gi kwe wangni ber,Luo
nyasaye ogwedhi,Luo
an gi tich matek idwaro chiemo,Luo
